Elements,FileID,Loadcase,Step,Layer,XX,XY,YY,YZ,ZX,ZZ
1,2,1,0,Mid,-66.67,26.25,12.75,0.00,0.00,0.00
2,2,1,0,Mid,-82.97,27.10,20.87,0.00,0.00,0.00
3,2,1,0,Mid,-67.63,36.97,20.74,0.00,0.00,0.00
4,2,1,0,Mid,-97.67,34.52,2.42,0.00,0.00,0.00
5,2,1,0,Mid,-89.50,27.04,25.35,0.00,0.00,0.00
6,2,1,0,Mid,-96.29,28.46,26.60,0.00,0.00,0.00
7,2,1,0,Mid,-94.14,33.47,-2.96,0.00,0.00,0.00
8,2,1,0,Mid,-96.16,26.79,20.02,0.00,0.00,0.00
9,2,1,0,Mid,-93.57,29.76,37.30,0.00,0.00,0.00
10,2,1,0,Mid,-87.25,35.39,-10.68,0.00,0.00,0.00
11,2,1,0,Mid,-94.31,21.61,18.34,0.00,0.00,0.00
12,2,1,0,Mid,-100.33,34.41,46.70,0.00,0.00,0.00
13,2,1,0,Mid,-86.06,56.75,4.84,0.00,0.00,0.00
14,2,1,0,Mid,-93.51,46.37,17.98,0.00,0.00,0.00
15,2,1,0,Mid,-100.82,56.63,31.55,0.00,0.00,0.00
16,2,1,0,Mid,-100.82,56.63,31.55,0.00,0.00,0.00
17,2,1,0,Mid,-93.51,46.37,17.98,0.00,0.00,0.00
18,2,1,0,Mid,-86.06,56.75,4.84,0.00,0.00,0.00
19,2,1,0,Mid,-100.33,34.41,46.70,0.00,0.00,0.00
20,2,1,0,Mid,-94.31,21.61,18.34,0.00,0.00,0.00
21,2,1,0,Mid,-87.25,35.39,-10.68,0.00,0.00,0.00
22,2,1,0,Mid,-93.57,29.76,37.30,0.00,0.00,0.00
23,2,1,0,Mid,-96.16,26.79,20.02,0.00,0.00,0.00
24,2,1,0,Mid,-94.14,33.47,-2.96,0.00,0.00,0.00
25,2,1,0,Mid,-96.29,28.46,26.60,0.00,0.00,0.00
26,2,1,0,Mid,-89.50,27.04,25.35,0.00,0.00,0.00
27,2,1,0,Mid,-97.67,34.52,2.42,0.00,0.00,0.00
28,2,1,0,Mid,-67.63,36.97,20.74,0.00,0.00,0.00
29,2,1,0,Mid,-82.97,27.10,20.87,0.00,0.00,0.00
30,2,1,0,Mid,-66.67,26.25,12.75,0.00,0.00,0.00
1,2,2,0,Mid,-45.57,18.27,-15.23,0.00,0.00,0.00
2,2,2,0,Mid,-55.38,17.94,-10.84,0.00,0.00,0.00
3,2,2,0,Mid,-46.21,23.60,-9.94,0.00,0.00,0.00
4,2,2,0,Mid,-64.34,22.02,-22.01,0.00,0.00,0.00
5,2,2,0,Mid,-58.49,17.91,-7.99,0.00,0.00,0.00
6,2,2,0,Mid,-63.42,19.68,-6.00,0.00,0.00,0.00
7,2,2,0,Mid,-62.81,21.97,-25.99,0.00,0.00,0.00
8,2,2,0,Mid,-63.80,17.74,-10.69,0.00,0.00,0.00
9,2,2,0,Mid,-62.44,19.91,0.68,0.00,0.00,0.00
10,2,2,0,Mid,-58.44,23.49,-31.13,0.00,0.00,0.00
11,2,2,0,Mid,-63.13,14.31,-11.75,0.00,0.00,0.00
12,2,2,0,Mid,-67.11,22.74,6.87,0.00,0.00,0.00
13,2,2,0,Mid,-57.68,37.61,-20.81,0.00,0.00,0.00
14,2,2,0,Mid,-62.64,30.71,-12.06,0.00,0.00,0.00
15,2,2,0,Mid,-67.45,37.48,-3.13,0.00,0.00,0.00
16,2,2,0,Mid,-67.45,37.48,-3.13,0.00,0.00,0.00
17,2,2,0,Mid,-62.64,30.71,-12.06,0.00,0.00,0.00
18,2,2,0,Mid,-57.68,37.61,-20.81,0.00,0.00,0.00
19,2,2,0,Mid,-67.11,22.74,6.87,0.00,0.00,0.00
20,2,2,0,Mid,-63.13,14.31,-11.75,0.00,0.00,0.00
21,2,2,0,Mid,-58.44,23.49,-31.13,0.00,0.00,0.00
22,2,2,0,Mid,-62.44,19.91,0.68,0.00,0.00,0.00
23,2,2,0,Mid,-63.80,17.74,-10.69,0.00,0.00,0.00
24,2,2,0,Mid,-62.81,21.97,-25.99,0.00,0.00,0.00
25,2,2,0,Mid,-63.42,19.68,-6.00,0.00,0.00,0.00
26,2,2,0,Mid,-58.49,17.91,-7.99,0.00,0.00,0.00
27,2,2,0,Mid,-64.34,22.02,-22.01,0.00,0.00,0.00
28,2,2,0,Mid,-46.21,23.60,-9.94,0.00,0.00,0.00
29,2,2,0,Mid,-55.38,17.94,-10.84,0.00,0.00,0.00
30,2,2,0,Mid,-45.57,18.27,-15.23,0.00,0.00,0.00
1,2,3,0,Mid,-30.70,186.97,-15.60,0.00,0.00,0.00
2,2,3,0,Mid,-41.48,162.58,10.44,0.00,0.00,0.00
3,2,3,0,Mid,-36.45,192.33,32.35,0.00,0.00,0.00
4,2,3,0,Mid,-52.64,190.46,-65.30,0.00,0.00,0.00
5,2,3,0,Mid,-44.75,162.26,12.67,0.00,0.00,0.00
6,2,3,0,Mid,-44.34,187.43,79.81,0.00,0.00,0.00
7,2,3,0,Mid,-48.63,190.63,-112.21,0.00,0.00,0.00
8,2,3,0,Mid,-48.08,160.76,10.01,0.00,0.00,0.00
9,2,3,0,Mid,-45.23,188.77,129.39,0.00,0.00,0.00
10,2,3,0,Mid,-7.65,209.64,-163.14,0.00,0.00,0.00
11,2,3,0,Mid,-47.16,129.63,9.17,0.00,0.00,0.00
12,2,3,0,Mid,-86.14,209.15,181.15,0.00,0.00,0.00
13,2,3,0,Mid,-2.44,340.18,-71.03,0.00,0.00,0.00
14,2,3,0,Mid,-46.75,278.23,8.99,0.00,0.00,0.00
15,2,3,0,Mid,-91.00,340.12,89.22,0.00,0.00,0.00
